,Fermi.name,Spectral.Index,Radio.flux.mJy.,flux_density,curve_significance,flux_100_300_mev,flux_0p3_1_gev,flux_10_100_gev,variability_index,Optical.Class
153,3FGL J0309.0+1029,2.092,505.9487,7.7439E-12,4.175,2.63721E-08,8.6579E-09,9.23976E-11,670.751648, fsrq 
154,3FGL J0309.5-0749,1.9353,82.1806,4.5874E-14,1.28,1.2087E-09,6.01011E-10,2.39412E-11,44.143002, bll 
155,3FGL J0309.9-6057,2.4217,992.5,4.386E-12,2.161,2.75691E-08,7.62678E-09,3.51683E-11,235.105774, fsrq 
156,3FGL J0310.8+3814,2.4234,237.0391,9.9703E-13,0.222,1.51853E-08,2.14413E-09,1.61822E-11,101.942017, fsrq 
157,3FGL J0312.7+0133,2.2825,459.6698,1.4805E-12,1.326,1.26646E-08,3.57192E-09,4.57226E-11,254.416077, fsrq 
158,3FGL J0312.7+3613,2.2838,117.683,1.9116E-13,0.967,7.10789E-09,1.54535E-09,1.86024E-11,59.085175, bll 
159,3FGL J0314.3-5103,2.4004,102.9,1.4529E-12,1.541,1.32682E-08,2.18419E-09,4.00415E-11,50.879818, bll 
160,3FGL J0315.5-1026,2.4101,335.2094,6.2147E-13,0.124,8.21315E-09,1.44906E-09,1.07786E-11,110.812508, fsrq 
161,3FGL J0316.1-2611,1.8568,21.7211,9.372E-14,1.13,4.55705E-09,8.23401E-10,3.75171E-11,56.740971, bll 
162,3FGL J0316.1+0904,1.9163,55.4945,3.9346E-13,1.747,1.87056E-09,5.55809E-09,2.61715E-10,83.303543, bll 
163,3FGL J0316.2-6436,2.0916,17.8,2.3276E-13,0.59,9.95171E-09,1.68386E-09,5.97856E-11,56.850758, bll 
164,3FGL J0319.8+1847,1.5718,22.894,1.905E-14,0.424,3.90845E-12,1.95811E-10,1.25681E-10,76.326828, bll 
165,3FGL J0322.0+2335,1.946,76.7383,1.4908E-13,1.016,7.60082E-09,2.43838E-09,1.2644E-10,56.581543, bll 
166,3FGL J0323.6-0109,1.852,30.3262,8.1026E-14,0.874,4.12873E-09,9.08082E-10,1.21652E-10,41.145351, bll 
167,3FGL J0325.2-5634,2.2157,73.3,3.4607E-13,0.291,4.96497E-09,1.20997E-09,2.81307E-11,37.19035, bll 
168,3FGL J0325.5+2223,2.4348,525.2668,5.8836E-11,3.796,4.9374E-08,1.06013E-08,8.24157E-15,261.052399, fsrq 
169,3FGL J0325.6-1648,1.7854,27.5951,1.1551E-13,0.635,1.46577E-09,1.83861E-09,1.82085E-10,67.440254, bll 
170,3FGL J0326.2+0225,1.9981,68.2877,1.6802E-13,0.867,8.11702E-09,1.63942E-09,7.43448E-11,59.084969, bll 
171,3FGL J0333.6+2916,1.8571,193.7217,1.6495E-13,2.643,3.34845E-09,2.02906E-09,1.73054E-10,54.856136, bll 
172,3FGL J0334.3-3726,1.9727,222.0722,1.277E-12,3.157,1.36875E-08,5.94318E-09,1.96829E-10,123.079964, bll 
173,3FGL J0334.3-4008,2.0046,986.5,2.372E-11,4.22,3.71142E-08,1.41652E-08,1.93097E-10,408.708252, bll 
174,3FGL J0335.3-4459,1.8441,19.3,6.534E-14,0.14,5.4179E-12,1.31242E-09,8.97953E-11,51.28447, bll 
175,3FGL J0336.9-1304,2.6699,377.7183,3.5752E-12,1.128,1.16227E-08,1.75336E-09,6.37336E-12,38.897667, fsrq 
176,3FGL J0336.9-3622,2.4364,501.4456,5.3929E-13,1.836,6.21888E-09,1.48998E-09,3.04053E-16,33.533138, fsrq 
177,3FGL J0338.1-2443,1.2862,14.03,8.1121E-16,1.004,4.2951E-14,2.94506E-13,3.76616E-11,31.92548, bll 
178,3FGL J0339.5-0146,2.2526,2424.2703,6.7294E-11,4.493,5.92679E-08,1.62057E-08,1.37039E-11,698.050415, fsrq 
179,3FGL J0340.5-2119,2.2175,1075.983,4.7476E-13,0.736,8.63088E-09,1.42496E-09,1.4848E-11,72.45826, bll 
180,3FGL J0342.2+3857,2.3693,61.8845,6.8131E-13,0.402,1.45361E-08,3.24237E-09,4.12113E-11,122.134583, fsrq 
181,3FGL J0343.2-2534,2.5599,503.78,3.7687E-12,3.783,1.19149E-08,3.75242E-09,2.73802E-14,303.660461, fsrq 
182,3FGL J0345.1-2353,2.4079,29.34,1.9086E-12,2.046,1.51299E-08,3.85976E-09,2.23891E-11,61.617695, bll 
183,3FGL J0348.6-2748,2.3834,840.0574,5.4932E-13,0.973,8.66816E-09,1.51646E-09,7.43698E-16,51.375515, fsrq 
184,3FGL J0348.7-1606,2.4664,437.246,3.0366E-12,2.081,1.00092E-08,3.20711E-09,1.37047E-11,67.590492, bll 
185,3FGL J0349.2-1158,1.7344,24.9045,1.641E-14,0.741,5.78648E-10,1.28868E-10,5.24046E-11,44.256794, bll 
186,3FGL J0349.9-2102,2.2045,305.2278,2.7891E-11,5.633,2.69936E-08,8.64301E-09,3.19673E-14,508.577484, fsrq 
187,3FGL J0353.0-3622,1.5533,6.7235,5.5294E-15,1.091,4.0333E-10,1.62596E-14,4.73007E-11,46.98011, bll 
188,3FGL J0353.0-6831,1.6137,409.4,5.7462E-15,1.066,1.8238E-09,4.53835E-10,5.46419E-11,42.034382, bll 
189,3FGL J0354.6+8011,2.3732,643.8027,1.2724E-12,0.569,1.26219E-08,2.37435E-09,1.45345E-11,338.526855, bll 
190,3FGL J0357.1-4957,2.0974,214.4,1.3754E-13,0.093,2.94503E-09,1.10264E-09,2.92695E-11,50.26199, bll 
191,3FGL J0359.3-2612,2.1935,796.7336,5.6756E-14,1.361,7.50243E-09,9.91681E-10,1.04289E-11,39.195656, bll 
192,3FGL J0401.4+2109,2.3513,246.8452,6.1124E-13,2.587,6.70123E-09,1.75146E-09,5.35041E-15,36.977043, fsrq 
193,3FGL J0401.8-3144,2.5364,681.85,8.3003E-13,1.077,7.59042E-09,9.95405E-10,5.66775E-12,45.218693, fsrq 
194,3FGL J0402.1-2618,2.1269,145.3397,1.2294E-13,1.976,1.76864E-11,1.26563E-09,2.75819E-11,45.439671, bll 
